                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.3122,                 1.1715,                 1.3068,                0.82959,                0.59442,                0.70582,                 0.4269,                  1.393,                 1.1028,                 1.4339,              0.0094876,              0.0094876,              0.0094876
                     55,                 1.2911,                 1.1287,                   1.27,                0.76696,                 0.6114,                0.69965,                0.44093,                 1.3271,                 1.0201,                 1.4005,              0.0094779,              0.0094779,              0.0094779
                     56,                 1.2849,                  1.127,                 1.2873,                0.65836,                 0.4068,                0.44576,                0.28552,                 1.8031,                 1.9824,                 1.9603,              0.0094683,              0.0094683,              0.0094683
                     57,                 1.2633,                  1.135,                 1.2758,                0.76216,                0.55464,                0.62758,                0.39517,                 1.3777,                  1.127,                 1.4015,              0.0094586,              0.0094586,              0.0094586
                     58,                 1.2692,                 1.1217,                 1.2702,                0.81101,                0.59767,                0.69697,                0.43544,                 1.3383,                 1.1445,                 1.3994,              0.0094489,              0.0094489,              0.0094489
                     59,                 1.2876,                 1.1484,                 1.2738,                0.71174,                0.58658,                0.63683,                0.40463,                 1.3607,                  1.129,                 1.4164,              0.0094393,              0.0094393,              0.0094393
                     60,                 1.2749,                 1.1587,                 1.2717,                0.76172,                0.63737,                0.70827,                0.43433,                 1.3891,                  1.045,                 1.4391,              0.0094296,              0.0094296,              0.0094296
                     61,                 1.2739,                 1.1087,                 1.2809,                0.88763,                0.59813,                 0.7217,                0.44969,                 1.3418,                 1.0224,                 1.4348,              0.0094199,              0.0094199,              0.0094199
                     62,                 1.2835,                 1.1417,                 1.2966,                0.80592,                0.60891,                0.68086,                0.43642,                 1.4737,                 1.1719,                 1.4576,              0.0094103,              0.0094103,              0.0094103
                     63,                 1.2829,                 1.1041,                 1.2734,                0.76002,                0.59174,                0.66797,                0.41505,                  1.479,                 1.1056,                 1.4763,              0.0094006,              0.0094006,              0.0094006
                     64,                 1.2631,                 1.0971,                 1.2561,                0.79026,                0.63093,                0.73272,                 0.4693,                 1.3807,                  1.055,                 1.4088,              0.0093909,              0.0093909,              0.0093909
                     65,                 1.2383,                  1.134,                 1.2749,                0.82369,                0.59451,                0.69979,                0.44335,                 1.4026,                 1.0917,                 1.4438,              0.0093813,              0.0093813,              0.0093813
                     66,                 1.2566,                 1.0859,                 1.2668,                0.76675,                0.63195,                0.69703,                 0.4258,                 1.3532,                 1.0852,                 1.4237,              0.0093716,              0.0093716,              0.0093716
                     67,                  1.276,                 1.0958,                 1.2833,                0.76466,                0.57196,                0.65381,                0.39001,                 1.4348,                 1.1102,                 1.4996,              0.0093619,              0.0093619,              0.0093619
                     68,                 1.2696,                 1.0839,                 1.2719,                0.83679,                0.61373,                 0.7457,                0.46704,                 1.3827,                0.97129,                 1.4531,              0.0093522,              0.0093522,              0.0093522
                     69,                 1.2718,                 1.1226,                  1.276,                0.80932,                0.61415,                0.74648,                0.47066,                 1.3428,                 1.0153,                 1.4023,              0.0093426,              0.0093426,              0.0093426
                     70,                 1.2497,                 1.0512,                 1.2602,                  0.815,                0.59259,                0.69495,                 0.4385,                 1.3587,                 1.1448,                 1.4208,              0.0093329,              0.0093329,              0.0093329
                     71,                 1.2507,                 1.0735,                 1.2591,                0.82766,                 0.5938,                0.67415,                0.43814,                 1.3394,                 1.1078,                 1.3821,              0.0093232,              0.0093232,              0.0093232
                     72,                 1.2603,                 1.1091,                 1.2601,                0.66298,                0.30919,                0.36941,                0.22367,                 1.8529,                 3.6092,                 2.1976,              0.0093136,              0.0093136,              0.0093136
                     73,                 1.2547,                 1.0862,                 1.2707,                0.81865,                0.66194,                0.75325,                0.47067,                 1.4094,                0.97946,                 1.4051,              0.0093039,              0.0093039,              0.0093039
                     74,                 1.2431,                  1.056,                 1.2597,                0.79478,                0.67389,                0.74111,                   0.46,                  1.378,                 1.0133,                 1.3976,              0.0092942,              0.0092942,              0.0092942
                     75,                 1.2274,                 1.0608,                 1.2539,                0.83301,                  0.613,                0.71535,                0.46416,                 1.2964,                  1.061,                 1.3886,              0.0092846,              0.0092846,              0.0092846
                     76,                 1.2171,                 1.0512,                 1.2506,                0.73705,                 0.6691,                0.71577,                0.46477,                 1.3211,                 1.0757,                 1.3979,              0.0092749,              0.0092749,              0.0092749
                     77,                 1.2413,                 1.0319,                 1.2569,                 0.8145,                0.64492,                0.71886,                0.45688,                 1.2908,                0.98594,                 1.3796,              0.0092652,              0.0092652,              0.0092652
                     78,                 1.2244,                 1.0395,                 1.2526,                0.85565,                0.61917,                0.71963,                0.46525,                 1.3565,                 1.0882,                 1.4038,              0.0092556,              0.0092556,              0.0092556
                     79,                 1.2446,                 1.0639,                 1.2766,                0.79138,                0.66502,                0.73702,                0.48273,                 1.2582,                0.96662,                 1.3648,              0.0092459,              0.0092459,              0.0092459
                     80,                 1.2379,                 1.0379,                 1.2462,                0.83115,                0.62548,                 0.7393,                0.47155,                 1.3039,                 1.0079,                 1.3917,              0.0092362,              0.0092362,              0.0092362
                     81,                 1.2181,                 1.0256,                 1.2444,                0.89384,                0.60253,                0.70313,                0.44364,                 1.4231,                 1.0882,                 1.4509,              0.0092266,              0.0092266,              0.0092266
                     82,                 1.2407,                 1.0171,                 1.2623,                0.95083,                0.58867,                0.74232,                0.48795,                 1.3156,                0.95376,                 1.3624,              0.0092169,              0.0092169,              0.0092169
                     83,                 1.2143,                  1.023,                 1.2468,                0.90209,                 0.6163,                0.76535,                0.51151,                 1.3134,                0.97718,                 1.3716,              0.0092072,              0.0092072,              0.0092072
                     84,                 1.1825,                0.98663,                 1.2221,                 0.8315,                0.63999,                0.71682,                0.46616,                 1.3119,                 1.0276,                 1.3923,              0.0091976,              0.0091976,              0.0091976
                     85,                 1.2199,                0.97907,                 1.2343,                0.81091,                0.63332,                 0.7301,                0.47757,                 1.2902,                  1.018,                 1.3666,              0.0091879,              0.0091879,              0.0091879
                     86,                 1.2241,                 1.0111,                 1.2383,                0.79452,                 0.6112,                0.69911,                0.45859,                 1.2443,                 1.1553,                 1.3545,              0.0091782,              0.0091782,              0.0091782
